id,ean,title,title_gr,brand,cat1,cat2,cat3,subcategory,unit_basis,pack_size_ml,organic,vegan,vegetarian,gluten_free,lactose_free,kosher,meat_free,image_url,first_seen,last_seen,delisted_on
748139,8593419415708,Simax Mixing Bowl 2.5 L,Simax Μπόλ 2.5 L,Simax,Homeware,Kitchenware,Baking Dishes,Baking Dishes,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748139.jpg,2026-09-12,2026-09-18,
748140,8593419415722,Simax Mixing Bowl 3.5 L,Simax Μπόλ 3.5 L,Simax,Homeware,Kitchenware,Baking Dishes,Baking Dishes,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748140.jpg,2026-09-12,2026-09-18,
748150,8593419415562,Simax Flueted Baking Dish 26x5.8 cm,Simax Flueted Ταψί Ψησίματος 26x5.8 cm,Simax,Homeware,Kitchenware,Baking Dishes,Baking Dishes,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748150.jpg,2026-09-12,2026-09-18,
748151,8593419327605,Simax Glass Jug Tea 1.25 L,Simax Τσαγιέρα Γυάλινη 1.25 L,Simax,Homeware,Kitchenware,Coffee Pots,Coffee Pots,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748151.jpg,2026-09-12,2026-09-18,
748156,8593419414367,Simax Rectangular Roaster 3.5 L,Simax Ορθογώνιο Ταψί 3.5 L,Simax,Homeware,Kitchenware,Baking Dishes,Baking Dishes,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748156.jpg,2026-09-12,2026-09-18,
748198,4008033414265,Fackelmann Mocha/Sundae Spoons 6 Pieces,Fackelmann Κουταλάκι Long Drink 6 Τεμάχια,Fackelmann,Homeware,Kitchenware,Kitchen Tools,Kitchen Tools,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748198.jpg,2026-09-12,2026-09-18,
748223,6926799211677,Sun Club Swim Ring ± 90 cm Diameter 9+ Years CE,Sun Club Σωσίβιο Λάστιχο Αυτοκινήτου ± 90 cm Διάμετρος 9+ Ετών CE,Sun,Homeware,Summer Range,,Beach Accessories,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748223.jpg,2026-09-12,2026-09-18,
748647,5201054002094,Fage Total Strained Yoghurt 2% Fat 1 kg,Fage Total Στραγγιστό Γιαούρτι Αγελάδος 2% Λιπαρά 1 kg,Fage,Chilled,Yoghurt & Desserts,Plain Yoghurt,Plain Yoghurt,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748647.jpg,2026-09-12,2026-09-18,
748699,5034525006686,The Berry Company Goji Berry Juice Drink 1 L,The Berry Company Φρουτοποτό Γκότζι 1 L,Berry Company,Drinks,"Juice, Squash & Syrups",Juice,Juice,,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748699.jpg,2026-09-12,2026-09-18,
748809,5290008081490,Grigoriou Turkey Burgers 6 Pieces 480 g,Γρηγορίου Μπιφτέκια Γαλοπούλας 6 Τεμάχια 480g,Grigoriou,Frozen,Frozen Burgers & Meat,Frozen Burgers,Frozen Burgers,kg,0,0,0,0,0,0,0,0,https://alphamega.com.cy/Files/Images/Products/748809.jpg,2026-09-12,2026-09-18,
