station_id,brand,name,address,phone,area,district,first_seen,last_seen
e7bfeaa9c428,EKO,R.A.M. OIL CYPRUS LIMITED,Κάθετος Δρόμος Νέου Λιμανιού Τ.Κ 4150,25391801,Κάτω Πολεμίδια,Limassol,2026-09-13,2026-09-13
9746fda18600,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Αρχ. Μακαρίου Γ' 162 Τ.Κ 3026,25381276,Λεμεσός,Limassol,2026-09-13,2026-09-13
4fd43e7e497c,EKO,R.A.M. OIL CYPRUS LIMITED,Αγίου Γεωργίου 99 Τ.Κ 4180,25390691,Ύψωνας,Limassol,2026-09-13,2026-09-13
f7018faecfa5,EKO,R.A.M. OIL CYPRUS LIMITED,Λεωφ. Σπ. Κυπριανού 28 Τ.Κ 4154,25822228,Κάτω Πολεμίδια,Limassol,2026-09-13,2026-09-13
567e7e2b96ac,EKO,R.A.M. OIL CYPRUS LIMITED,Μαργαρίτας 45 Τ.Κ 4878,25550025,Πελένδρι,Limassol,2026-09-13,2026-09-13
cfec076bb164,EKO,ΚΥΠΡΙΑΝΟΥ & ΠΡΟΚΟΠΙΟΥ ΛΙΜΙΤΕΔ,Λεωφ. Σπ. Κυπριανού 61 Τ.Κ 4043,25311877,Γερμασόγεια,Limassol,2026-09-13,2026-09-13
f1dfb918aa44,EKO,Μ. Σ. ΓΕΩΡΓΙΟΣ ΧΡΙΣΤΟΦΟΡΟΥ & ΣΙΑ ΛΙΜΙΤΕΔ,Αγνοουμένων 15 Τ.Κ 4528,25633102,Πεντάκωμο,Limassol,2026-09-13,2026-09-13
9e6df553eab2,EKO,ΜΙΧΑΛΑΚΗΣ ΙΑΚΩΒΟΥ ΛΙΜΙΤΕΔ,14ος Δρόμος 22 Τ.Κ 4620,25932665,Επισκοπή,Limassol,2026-09-13,2026-09-13
5697a79e3714,EKO,ΝΤΙΝΟΣ ΑΠΟΣΤΟΛΟΥ ΛΙΜΙΤΕΔ,Ηλία Καννάουρου 20 Τ.Κ 4187,25391284,Ύψωνας,Limassol,2026-09-13,2026-09-13
d4092c9b4f08,ENI,S.L. PETROLEUM SERVICES LTD,Αγίας Φυλάξεως 23-25 Τ.Κ 3025,25358282,Λεμεσός,Limassol,2026-09-13,2026-09-13
a13338dc541d,ENI,ΝΙΚΟΣ Σ. ΝΙΚΟΛΑΙΔΗΣ ΛΙΜΙΤΕΔ,Νίκου και Δέσποινας Παττίχη 117 Τ.Κ 3070,25335300,Λεμεσός,Limassol,2026-09-13,2026-09-13
bbe6fff4e9d1,ESSO,ANTHOUSIA HOLDINGS LIMITED,Λεώφ. Λεμεσού 30 Τ.Κ 4525,25360101,Μονή,Limassol,2026-09-13,2026-09-13
cfd3fe33b227,ESSO,AΡΙΣΤΟΣ Θ. ΑΡΙΣΤΕΙΔΟΥ ΛΙΜΙΤΕΔ,Τζελάλ Μπαγιάρ 4 Τ.Κ 3042,25370210,Λεμεσός,Limassol,2026-09-13,2026-09-13
1ef5b819726d,ESSO,CEMARIUS LTD,Κολωνακίου 5 Τ.Κ 4103,25324880,Άγιος Αθανάσιος,Limassol,2026-09-13,2026-09-13
018228a5741c,ESSO,CHR. PELENDRIDES ENTERPRISES LTD,Αγίας Φυλάξεως 205 Τ.Κ 3083,25386476,Λεμεσός,Limassol,2026-09-13,2026-09-13
b3875ccbca12,ESSO,DEMETRIS XANDRIS DEVELOPMENTS LTD,Πάφου 26 Τ.Κ 4607,25221010,Πισσούρι,Limassol,2026-09-13,2026-09-13
233254a84b2d,ESSO,DERESIO PETROLEUM LTD,Ονησίλου 1 Τ.Κ 4532,25310136,Τουριστική Περ. Αγίου Τύχωνα,Limassol,2026-09-13,2026-09-13
e2fd268c172a,ESSO,DI FORCES TRADING LTD,Δρόμος Βάσεων Επισκοπής Τ.Κ 4153,25211547,Βάση Επισκοπής,Limassol,2026-09-13,2026-09-13
cd323f4673d7,ESSO,E&P PETROL STATION LTD,Αγίας Ζώνης 14 Τ.Κ 3027,25344263,Λεμεσός,Limassol,2026-09-13,2026-09-13
c0e5c11d688d,ESSO,G.A. PETROLEUM LIMITED,Λεώφ. Αγίου Αθανασίου 13 Τ.Κ 4107,25221121,Άγιος Αθανάσιος,Limassol,2026-09-13,2026-09-13
288f16b2cde1,ESSO,JENKERA LIMITED,Μισιαούλη & Καβάζογλου 86-88 Τ.Κ 3016,25565274,Λεμεσός,Limassol,2026-09-13,2026-09-13
89f3721e58ea,ESSO,KOURKOUTIS ENTERPRISES LTD,Γρηγόρη Αυξεντίου 128 Τ.Κ 4520,25366669,Παρεκκλησιά,Limassol,2026-09-13,2026-09-13
e551eeff6720,ESSO,N.P PETROL STATION LTD,Πάφου 21 Τ.Κ 3052,25562279,Λεμεσός,Limassol,2026-09-13,2026-09-13
b27d9f5af2b6,ESSO,S & K TIGGER TRADING LIMITED,Φρ. Ρούσβελτ 263 Τ.Κ 3046,25713540,Λεμεσός,Limassol,2026-09-13,2026-09-13
ed726f0564b7,ESSO,STAVROS PANAYIOTOU OIL SERVICES LIMITED,Λεωφ. Σπ. Κυπριανού 26 Τ.Κ 4003,25752200,Μέσα Γειτονιά,Limassol,2026-09-13,2026-09-13
00e8792b88ef,ESSO,YIANNAKIS & ΑΝΝΑ TSANGARIDES LIMITED,"Γρηγόρη Αυξεντίου, Δρόμος Παρεκκλησιάς Τ.Κ",25636261,Παρεκκλησιά,Limassol,2026-09-13,2026-09-13
