key,station_id,fuel,price,first_seen,last_seen,delisted_on
0cd6f55cdb37:heating_oil,0cd6f55cdb37,heating_oil,1.559,2026-09-13,2026-09-14,
0cd6f55cdb37:kerosene,0cd6f55cdb37,kerosene,1.489,2026-09-13,2026-09-14,
0cd6f55cdb37:unleaded95,0cd6f55cdb37,unleaded95,1.589,2026-09-13,2026-09-14,
0cd6f55cdb37:unleaded98,0cd6f55cdb37,unleaded98,1.629,2026-09-13,2026-09-14,
0e4663dea41e:diesel,0e4663dea41e,diesel,1.949,2026-09-13,2026-09-14,
0e4663dea41e:heating_oil,0e4663dea41e,heating_oil,1.589,2026-09-13,2026-09-14,
0e4663dea41e:kerosene,0e4663dea41e,kerosene,1.489,2026-09-13,2026-09-14,
0e4663dea41e:unleaded95,0e4663dea41e,unleaded95,1.689,2026-09-13,2026-09-14,
0e4663dea41e:unleaded98,0e4663dea41e,unleaded98,1.729,2026-09-13,2026-09-14,
0eb54c313653:diesel,0eb54c313653,diesel,1.924,2026-09-13,2026-09-14,
0eb54c313653:heating_oil,0eb54c313653,heating_oil,1.639,2026-09-13,2026-09-14,
0eb54c313653:kerosene,0eb54c313653,kerosene,1.539,2026-09-13,2026-09-14,
0eb54c313653:unleaded95,0eb54c313653,unleaded95,1.649,2026-09-13,2026-09-14,
0eb54c313653:unleaded98,0eb54c313653,unleaded98,1.689,2026-09-13,2026-09-14,
0ec6995b7755:diesel,0ec6995b7755,diesel,1.859,2026-09-13,2026-09-14,
0ec6995b7755:heating_oil,0ec6995b7755,heating_oil,1.528,2026-09-13,2026-09-14,
0ec6995b7755:kerosene,0ec6995b7755,kerosene,1.435,2026-09-13,2026-09-14,
0ec6995b7755:unleaded95,0ec6995b7755,unleaded95,1.599,2026-09-13,2026-09-14,
0ec6995b7755:unleaded98,0ec6995b7755,unleaded98,1.699,2026-09-13,2026-09-14,
0ed0b92e6d0c:diesel,0ed0b92e6d0c,diesel,1.907,2026-09-13,2026-09-14,
0ed0b92e6d0c:heating_oil,0ed0b92e6d0c,heating_oil,1.559,2026-09-13,2026-09-14,
0ed0b92e6d0c:kerosene,0ed0b92e6d0c,kerosene,1.469,2026-09-13,2026-09-14,
0ed0b92e6d0c:unleaded95,0ed0b92e6d0c,unleaded95,1.647,2026-09-13,2026-09-14,
0ed0b92e6d0c:unleaded98,0ed0b92e6d0c,unleaded98,1.677,2026-09-13,2026-09-14,
0effbc30de91:diesel,0effbc30de91,diesel,1.909,2026-09-13,2026-09-14,
0effbc30de91:heating_oil,0effbc30de91,heating_oil,1.528,2026-09-13,2026-09-14,
0effbc30de91:kerosene,0effbc30de91,kerosene,1.435,2026-09-13,2026-09-14,
0effbc30de91:unleaded95,0effbc30de91,unleaded95,1.645,2026-09-13,2026-09-14,
0effbc30de91:unleaded98,0effbc30de91,unleaded98,1.699,2026-09-13,2026-09-14,
0f0ceccc2b7e:diesel,0f0ceccc2b7e,diesel,1.919,2026-09-13,2026-09-14,
0f0ceccc2b7e:heating_oil,0f0ceccc2b7e,heating_oil,1.560,2026-09-13,2026-09-14,
